region_id,region_name,region_id_en,region_name_en,region_raw_source,year,women_farms,credit_kaf,credit_acc,credit_fund,credit_total,land_share,log_women_farms,log_credit_total,lag1_log_women_farms,lag1_log_credit_total,log_credit_kaf,lag1_log_credit_kaf,log_credit_acc,lag1_log_credit_acc,log_credit_fund,lag1_log_credit_fund,year_fe
Актюбинская,Актюбинская,aktobe,Aktobe,Актюбинская,2015,521,19.7,400.2,595.3,1015.2,5.83,6.257667587882638,6.923825459159631,,,3.0301337002713233,,5.994460056087781,,6.39074389612906,,2015
Актюбинская,Актюбинская,aktobe,Aktobe,Актюбинская,2016,627,71.9,484.1,928.1,1484.1,0.15,6.442540166468198,7.303237389036899,6.257667587882638,6.923825459159631,4.289088639014612,3.0301337002713233,6.184355055251171,5.994460056087781,6.834216375647267,6.39074389612906,2016
Актюбинская,Актюбинская,aktobe,Aktobe,Актюбинская,2017,847,27.2,819.7,1483.0,2329.9,0.15,6.742880635791903,7.754009738072623,6.442540166468198,7.303237389036899,3.339321977944068,4.289088639014612,6.710157634635666,6.184355055251171,7.302496423727326,6.834216375647267,2017
Актюбинская,Актюбинская,aktobe,Aktobe,Актюбинская,2018,1164,73.7,9045.5,1319.4,10438.6,0.15,7.060476365999801,9.253361546526378,6.742880635791903,7.754009738072623,4.3134800921387715,3.339321977944068,9.11013322155915,6.710157634635666,7.185689999979038,7.302496423727326,2018
Актюбинская,Актюбинская,aktobe,Aktobe,Актюбинская,2019,1440,210.0,724.1,1518.3,2452.4,0.15,7.273092595999522,7.805230096598652,7.060476365999801,9.253361546526378,5.351858133476067,4.3134800921387715,6.586309576377547,9.11013322155915,7.326004981449721,7.185689999979038,2019
Актюбинская,Актюбинская,aktobe,Aktobe,Актюбинская,2020,2006,232.9,687.8,2077.4,2998.1,0.15,7.604396348796338,8.006067522641244,7.273092595999522,7.805230096598652,5.454893673590133,5.351858133476067,6.534950953113521,6.586309576377547,7.639353645916335,7.326004981449721,2020
Актюбинская,Актюбинская,aktobe,Aktobe,Актюбинская,2021,2412,646.0,1415.0,1890.0,3951.0,0.14,7.788626065625031,8.281977058867758,7.604396348796338,8.006067522641244,6.472346294500901,5.454893673590133,7.255591274253665,6.534950953113521,7.544861068658458,7.639353645916335,2021
Актюбинская,Актюбинская,aktobe,Aktobe,Актюбинская,2022,2457,1627.0,2938.7,,4565.7,0.14,7.80710329012598,8.42654612239154,7.788626065625031,8.281977058867758,7.395107546562485,6.472346294500901,7.986062814309882,7.255591274253665,,7.544861068658458,2022
Актюбинская,Актюбинская,aktobe,Aktobe,Актюбинская,2023,2602,812.0,1869.0,,2681.0,0.14,7.864419904994565,7.894318063841624,7.80710329012598,8.42654612239154,6.70073110954781,7.395107546562485,7.533693709848633,7.986062814309882,,,2023
Актюбинская,Актюбинская,aktobe,Aktobe,Актюбинская,2024,2734,1445.0,1102.0,,2547.0,0.15,7.913886714856082,7.843064016692054,7.864419904994565,7.894318063841624,7.27655640271871,6.70073110954781,7.005789019253503,7.533693709848633,,,2024
Алматинская,Алматинская,almaty_region,Almaty Region,Алматинская,2015,10868,135.8,464.1,427.7,1027.6,6.52,9.293669979563187,6.935953933340816,,,4.918520005188451,,6.142252436230051,,6.0607573736039315,,2015
